Transaction Amount,Transaction Frequency,Recipient Verification Status,Recipient Blacklist Status,Device Fingerprinting,VPN or Proxy Usage,Geo-Location Flags,Behavioral Biometrics,Time Since Last Transaction,Social Trust Score,Account Age,High-Risk Transaction Times,Past Fraudulent Behavior Flags,Location-Inconsistent Transactions,Normalized Transaction Amount,Transaction Context Anomalies,Fraud Complaints Count,Merchant Category Mismatch,User Daily Limit Exceeded,Recent High-Value Transaction Flags,Label
0.0077721980079471205,6,verified,0,0,0,1,0.11908418421807722,0.7942634013278564,0.17217382428507993,0.7869361310365849,0,0,0,0.41400308521923995,0.1869060352964757,0,0,0,0,0
0.007976952330648969,0,verified,1,0,1,0,0.18929307324223846,0.2897591760560078,0.8752220187810331,0.032905889100993055,0,0,0,0.5557675537255399,0.15793258997136797,0,0,0,0,1
0.2634831884428185,2,recently_registered,1,0,0,0,0.1400060942289536,0.48692515598806824,0.05906712171242873,0.5856250061584821,0,0,1,0.5199389580498089,0.16231000280645363,0,0,0,0,1
0.626072499455791,3,recently_registered,0,0,0,0,0.5983539055758931,0.7931304834743005,0.7280631414374634,0.8830513662998781,0,1,1,0.2718102824735252,0.039328838796142254,0,0,0,0,1
0.10559072012094137,2,verified,0,0,0,1,0.1491028504515981,0.23100072624916723,0.39939228201879773,0.9260729466311186,0,0,0,0.5201482942012586,0.049250156664005354,1,0,0,0,0
0.07222297141613766,1,verified,0,0,0,1,0.271719354705024,0.28143074475026103,0.8178442272419375,0.18220226994228844,0,0,0,0.11685307578420262,0.37572167198528644,0,0,1,0,0
0.06287770512919241,2,recently_registered,0,1,0,1,0.23501644938837976,0.29768269769645733,0.5241089636241569,0.6016602380574566,0,1,0,0.38322515635602045,0.0027438594220900213,1,1,0,0,0
0.7836923750282841,2,verified,0,0,0,0,0.05598995536926239,0.6530335818327091,0.425893527055636,0.6074587820555928,1,0,0,0.4935007712662766,0.3323701394748049,0,1,0,0,1
0.10883776204434147,4,verified,0,0,0,0,0.04279423978546504,0.19241644122248014,0.509074333631396,0.0870638582573571,0,0,0,0.28331861623454313,0.18118794625543572,1,0,1,0,0
0.016260057999966947,4,verified,1,0,1,1,0.006949456120188461,0.6367768016095189,0.3350585152613034,0.3682893164005368,0,1,0,0.22427317681886877,0.2552469114826984,1,0,0,0,1
0.7076412782302351,3,recently_registered,0,0,0,0,0.29958306311511734,0.7395539451885867,0.7813137847098077,0.44821986135680814,0,0,1,0.2684882855600387,0.39200162904676716,0,0,0,1,1
0.4566463512704361,1,recently_registered,1,0,0,0,0.19914475153012967,0.09487673538548759,0.33477981968049775,0.08542796653073616,0,1,0,0.3333590147382341,0.1334652764267028,0,1,0,1,1
0.042099593446627996,3,verified,0,0,0,0,0.1992839574457487,0.022439747008070776,0.33860684197649654,0.09238856518165639,0,0,0,0.47235022235513363,0.4525485747555483,0,0,0,0,0
